year_month,year,month,precipitation_mean,precipitation_sum,precipitation_count,max_temp_mean,max_temp_max,min_temp_mean,min_temp_min,avg_temp_mean,avg_temp_std,price_usd_per_tonne_mean,price_usd_per_tonne_std,Buying_mean,Buying_std,Selling_mean,Selling_std,Mid Rate_mean,Mid Rate_std
1996-01,1996,1,0.0,0.0,0,90.5,91.0,75.5,75.0,82.16666666666667,1.9407902170679536,1349.5413636363637,10.184783839702797,1456.780909090909,14.790337872147951,1481.375909090909,14.336135382508902,1469.078409090909,14.536907657863276
1996-02,1996,2,0.0,0.0,0,90.5,91.0,75.33333333333333,75.0,84.28571428571429,1.6035674514745488,1369.8395238095238,17.896659318484637,1506.837,13.082235886478848,1530.441,13.501740979358207,1518.639,13.28622492025412
1996-03,1996,3,0.0,0.0,0,90.5,91.0,75.16666666666667,75.0,84.0,2.0701966780270626,1338.6009523809523,26.267300566438543,1549.736,12.558167985733345,1573.327,11.070513752163528,1561.5315,11.793659659236187
1996-04,1996,4,0.0,0.0,0,88.99027791666666,91.3,75.0,75.0,83.66666666666667,3.5118845842842483,1456.2795238095237,31.03766139324793,1584.6715,8.136778927548065,1605.3870000000002,8.669324079765444,1595.02925,8.39992266176805
1996-05,1996,5,0.41452357142857144,5.80333,14,87.48055583333333,91.6,74.80357142857143,70.66667,80.69111133333332,2.7454784066686453,1524.0204545454544,17.32473252106388,1608.4404545454547,7.694010334126511,1628.796818181818,7.42835198435482,1618.6186363636364,7.556587977485205
1996-06,1996,6,0.13629666666666665,1.22667,9,86.58333333333333,87.75,72.89583375,70.0,79.08928571428571,1.7748432835939858,1537.5725,23.351581232384028,1630.9857894736842,5.968305469347218,1653.88,7.598300979678145,1642.432894736842,6.773117679430431
1996-07,1996,7,0.20834,5.41684,26,83.78448275862068,88.0,72.44367827586207,69.0,77.01166666666667,1.136221472125722,1495.68,33.032814951747085,1655.9959090909092,9.355048883377952,1684.5949999999998,9.456754577700442,1670.2954545454545,9.398694680023977
1996-08,1996,8,0.1311068,3.27767,25,83.17826086956521,101.0,72.40925888888889,70.8,76.54938296296297,1.1297409344549707,1499.8831818181818,28.093554486388147,1674.0459090909092,2.388224403372992,1703.6277272727273,1.9051207481246553,1688.8368181818184,2.128959362075276
1996-09,1996,9,0.14724466666666666,2.20867,15,83.865624375,88.25,72.23725470588235,70.0,76.49298210526315,1.354214815339216,1476.2790476190476,12.18304842999564,1688.1538095238097,5.949036456595671,1713.4109523809523,5.278115103672966,1700.782380952381,5.6014740513207855
1996-10,1996,10,0.005,0.005,1,88.1666675,90.66667,73.0,71.0,80.0,1.322875655532289,1476.9804347826089,14.983626359906312,1705.4382608695653,2.657674397209043,1731.178695652174,4.052717723777074,1718.3084782608696,3.133941185118039
1996-11,1996,11,0.03759277777777778,0.67667,18,89.975,91.8,74.51731636363637,72.0,81.09950416666668,1.320018366693422,1469.2771428571427,29.00372444063988,1714.4409523809525,2.8300227998408545,1739.9371428571428,4.233431401188898,1727.1890476190476,3.313262975922307
1996-12,1996,12,0.0014036842105263157,0.02667,19,88.1992752173913,91.0,74.06439363636365,71.33333,80.0797104347826,1.3555156554391778,1474.384,14.372981743901459,1722.41,2.425434668947668,1749.683157894737,2.8296447610405777,1736.0465789473685,2.6147796022649854
1997-01,1997,1,0.039259444444444444,0.70667,18,90.24513,93.66667,74.93933320000001,70.33333,81.17760111111112,1.6309009971422186,1428.4795454545454,28.0856162944788,1730.1745454545453,3.352820741764726,1761.0818181818183,4.341513491161753,1745.6281818181817,3.820988262047107
1997-02,1997,2,0.0,0.0,11,93.55104125,98.5,74.68627470588235,70.0,83.13333315789474,2.249101916788252,1372.742,24.95133254536664,1758.6015,18.265705073774445,1790.0945,17.576396994714013,1774.348,17.914871901946704
1997-03,1997,3,0.28119565217391307,6.4675,23,92.00576961538461,98.75,74.76206896551724,68.0,83.38777766666666,3.0806211867578397,1523.6395,57.959788009038114,1845.8388888888887,21.472688231082785,1876.8933333333334,22.40675029591581,1861.366111111111,21.933339017521075
1997-04,1997,4,0.3963796551724138,11.49501,29,89.45804586206897,95.0,73.80238107142857,70.66667,81.83381,1.8934419206794308,1571.0095454545453,35.122887460928816,1906.0866666666666,16.028641655902565,1936.4666666666667,16.89743570289097,1921.2766666666666,16.4308903694637
1997-05,1997,5,0.24097200000000002,7.22916,30,89.18225806451613,94.5,73.42555566666667,70.4,80.88594483870968,1.8153763687435416,1568.2957142857142,29.76098596677014,1983.141904761905,17.014388504747405,2011.8052380952383,15.69368395853807,1997.4735714285714,16.350356964211514
1997-06,1997,6,0.3699248275862069,10.72782,29,85.44460266666667,92.0,73.04252896551723,69.4,78.79880966666666,1.4993119111583317,1688.3347619047618,104.53348279948621,2055.969,28.550587218590085,2086.168,30.5027892771169,2071.0685000000003,29.52446590719749
1997-07,1997,7,0.04856666666666667,1.457,30,83.187143,90.0,71.2184329032258,67.0,77.10487774193548,1.5895465845615826,1677.2665217391302,52.92932333943046,2129.9513636363636,16.112050886409023,2161.566363636364,15.509049753045039,2145.7588636363635,15.80857941660143
1997-08,1997,8,0.10082450000000001,2.01649,20,83.20069458333333,88.0,71.3486664,69.0,77.1892007142857,1.4775378663918217,1652.1214285714286,75.93452648734393,2165.6990476190476,4.929684477491258,2196.3238095238094,5.044067283641836,2181.0114285714285,4.979989242673412
1997-09,1997,9,0.22380769230769226,5.818999999999999,26,86.49404733333334,90.0,72.98128068965516,71.33333,78.99130933333332,1.4238604881773564,1769.745,22.576305478257932,2182.9636363636364,8.708005372975013,2214.5486363636364,10.434299344654399,2198.7561363636364,9.562617684531688
1997-10,1997,10,0.13576375,3.25833,24,88.02067684210526,89.75,73.58333285714286,71.25,80.59380966666666,2.1528160417197966,1741.3843478260867,40.87495219080744,2208.6891304347823,3.7062464631822034,2247.1647826086955,4.217245837106424,2227.926956521739,3.9027731222143336
1997-11,1997,11,0.15866615384615385,2.06266,13,89.48027214285715,93.0,74.62063533333334,70.4,81.9740948,2.1887344116656404,1694.7575000000002,19.74472744410784,2216.9305,2.0324977503710593,2252.6415,2.2853314282272326,2234.786,2.126519023638117
1997-12,1997,12,0.12928571428571428,0.905,7,88.815625,91.0,74.03636363636363,68.4,81.91666727272728,2.066839316905521,1737.2404761904763,52.358167221188125,2226.787,3.1202312667328638,2260.5935,2.611316012241324,2243.69025,2.8475240745716133
1998-01,1998,1,0.0,0.0,3,92.183333,94.0,74.51515181818182,67.66667,82.00087736842106,1.9907227088445374,1668.1470000000002,26.559238674091727,2149.401904761905,492.6930326138077,2177.497619047619,499.0779218910085,2163.449761904762,495.8835906830254
1998-02,1998,2,0.049333,0.49333,10,94.54561421052631,100.0,77.52941176470588,72.66667,85.44567888888889,2.0118430654756745,1640.8349999999998,31.706943702403276,2279.4674999999997,2.826122273586758,2303.924,3.9217898706421503,2291.69575,3.358185708086783
1998-03,1998,3,0.27555555555555555,2.48,9,95.31444466666667,98.8,78.66666666666667,75.0,86.64583357142858,1.7570588822343496,1719.2122727272726,24.33504174012266,2290.8223809523806,1.6706941813567484,2316.753333333333,2.0734520330436204,2303.787857142857,1.8411420174911102
1998-04,1998,4,0.23906249999999998,5.7375,24,93.56481481481481,97.0,78.2913336,75.0,85.49444433333333,1.7111776616657985,1726.4952380952382,44.02147846438679,1980.7727272727273,805.6013773702099,2005.0422727272728,815.4720677294654,1992.9074999999998,810.5366913608921
1998-05,1998,5,0.265625,6.375,24,90.53571464285714,94.0,75.87756423076922,72.0,82.92089161290322,2.6760792988027533,1794.4185000000002,21.456088149618797,2184.2438095238094,500.47318040506616,2211.6880952380952,506.76154005231155,2197.9659523809523,503.6173379005608
1998-06,1998,6,0.2799042857142857,5.87799,21,87.11811565217391,91.33333,74.41419777777777,70.66667,80.33994703703704,1.5259536196243753,1721.8936363636365,25.45961349825484,2194.7445454545455,490.2397092941689,2224.0068181818183,496.7571477989964,2209.375681818182,493.49434775866587
1998-07,1998,7,0.06576086956521739,1.5125,23,84.40119035714285,88.0,72.84012333333334,69.66667,78.39784967741936,1.3081210754016261,1712.2252173913043,24.824287386927566,2309.9577272727274,1.0085394050814414,2339.561818181818,0.7975715305351766,2324.759772727273,0.8884449728018814
1998-08,1998,8,0.06903941176470588,1.17367,17,84.2225,86.33333,71.2849995,69.0,77.38939363636364,1.4107818651019168,1683.6847619047617,21.330282609249938,2310.7761904761905,0.13836459772923043,2340.0214285714283,0.25158071695359757,2325.3988095238096,0.15222438012613893
1998-09,1998,9,0.45824,11.456,25,85.32530851851853,90.0,72.89135777777777,69.0,78.55277733333334,1.5982633167391498,1687.3154545454547,38.97881301514017,2310.380909090909,0.21971646427889216,2339.0204545454544,0.0959403223601437,2324.7006818181817,0.1415584638983578
1998-10,1998,10,0.28436793103448277,8.24667,29,87.71428535714286,91.33333,73.89166633333333,71.75,80.54333333333334,1.5432504880828082,1646.429090909091,17.895644298221956,2309.751818181818,0.8319663246598751,2339.4345454545455,1.0685492045748233,2324.593181818182,0.9271622674212995
1998-11,1998,11,0.271,5.42,20,91.02243615384616,95.5,75.32471275862069,72.0,83.03611133333334,1.199792945633225,1594.905714285714,23.017317517779684,2317.347142857143,3.3268455672862323,2348.592380952381,3.985117193712078,2332.969761904762,3.642752213708071
1998-12,1998,12,0.0,0.0,10,89.31018499999999,91.0,75.26984095238096,73.0,82.81000033333333,1.6640933170399754,1514.8463636363638,36.22860742108361,2326.7604761904763,2.545925128888295,2358.3680952380955,1.965135158323014,2342.5642857142857,2.241160015323488
1999-01,1999,1,0.0,0.0,0,89.78947368421052,93.0,74.89682523809523,72.0,81.97916678571428,1.5455407330147621,1455.232,23.30426335515268,2301.0342105263157,150.58591601975522,2332.981052631579,152.94726073224416,2317.0076315789474,151.76615526643852
1999-02,1999,2,0.0,0.0,0,92.69047619047619,97.0,75.10526315789474,70.5,83.26296296296296,1.889067362106364,1408.4654999999998,16.35297509548904,2348.0535,4.440647504943117,2379.3087499999997,3.7357476088956627,2363.681125,4.083506658289024
1999-03,1999,3,0.0,0.0,0,92.0317461904762,94.0,75.49382703703704,69.5,83.73333333333333,1.873054546278173,1313.2439130434782,28.37717228194805,2378.8608695652174,17.00162128981295,2409.7669565217393,16.824355298949776,2394.3139130434784,16.910148375546473
1999-04,1999,4,0.08,0.16,2,91.533333,94.0,74.54848454545454,70.5,83.22222277777777,2.733930948538053,1186.1595238095238,55.46546425264906,2412.778,6.70405187770399,2443.9134999999997,9.005088780648787,2428.34575,7.840000885304687
1999-05,1999,5,0.0,0.0,0,90.06481555555555,93.5,74.28571428571429,70.33333,82.41728407407408,2.6320282082005737,1062.5645,50.80654521396777,2436.6161904761907,11.299068756402127,2469.4014285714284,10.208374153465094,2453.0088095238093,10.74534619088179
1999-06,1999,6,0.0,0.0,0,87.5,92.0,73.71428571428571,69.5,80.63725529411764,2.986797140226296,1161.8331818181819,63.17598476714627,2487.912857142857,11.392131996626784,2525.434285714286,14.384038574554879,2506.6735714285714,12.873642272377229
1999-07,1999,7,0.0,0.0,0,82.6,86.0,72.9,70.0,78.39015136363636,1.3742210085104258,1113.3936363636365,35.44001982497769,2532.401904761905,13.797776132060974,2575.7238095238095,13.203461468944656,2554.062857142857,13.48606749310468
1999-08,1999,8,0.0,0.0,0,83.855555,85.666665,72.33888833333333,69.5,79.5,3.5355339059327378,1056.3772727272726,21.785591171321943,2564.6236363636363,9.065936006337164,2608.623181818182,9.235564481865747,2586.623409090909,9.132020637291305
1999-09,1999,9,0.0,0.0,0,85.11111,85.33333,71.77777666666667,69.0,77.233334,3.4793039932980836,1061.375909090909,39.05608039474609,2610.041818181818,20.269607235691016,2658.0781818181817,21.69763968650437,2634.06,20.962032741761078
1999-10,1999,10,0.0,0.0,0,86.7222225,88.166665,72.55555333333334,71.166665,82.0,2.4467587778355893,1021.4861904761905,46.87189760146159,2746.979523809524,75.96935135146171,2833.246666666667,95.39907737149935,2790.1130952380954,85.57230319262493
1999-11,1999,11,0.45,0.45,1,88.333335,91.0,73.33333,73.33333,83.0,1.4142135623730951,922.4631818181817,27.817230594819595,3034.8309090909092,691.7728814871532,3144.867272727273,714.7767702222495,3089.8490909090906,703.2488931764458
1999-12,1999,12,0.0,0.0,1,90.72222166666667,92.0,72.5,69.0,82.52381,1.6199798483314518,918.675,18.37949731163967,3412.755,24.3224839668115,3520.4404999999997,27.12434223796234,3466.59775,25.64884764391019
2000-01,2000,1,0.0875,0.175,2,91.33541625,94.33333,73.85185222222222,70.5,82.61282076923077,2.2961431478057697,917.7138095238096,11.919264858283213,3490.418,33.84051722884569,3605.4565000000002,26.10879752416594,3547.93725,29.93460484187924
2000-02,2000,2,0.0,0.0,0,91.94895812499999,94.166665,75.33564819444445,70.75,86.0,0.0,859.1252380952382,18.54693010151477,3613.9780952380947,47.364252091534595,3719.483333333333,51.965838811024184,3666.7307142857144,49.63457893157037
2000-03,2000,3,0.765,1.53,2,92.5625,94.0,76.81944416666667,71.0,84.06,2.939545584055752,932.8795652173912,36.23387860681325,3867.496,101.20029604699762,4001.9489999999996,106.4106857960182,3934.7225,103.77494928297617
2000-04,2000,4,0.0,0.0,0,91.33333333333333,92.0,76.0,74.0,83.93333333333334,2.4043611170022645,911.3642105263157,22.88889767643051,4205.454444444444,93.06696837554364,4351.060555555556,94.249118358942,4278.2575,93.50761040512378
2000-05,2000,5,0.0,0.0,0,90.0,90.0,75.5,75.0,82.1,1.8609561775433694,908.8640909090908,20.40170573146396,4285.194347826087,939.4261506116194,4438.948260869565,972.408282492737,4362.071304347826,955.9031944582536
2000-06,2000,6,0.343,1.715,5,86.42222222222222,89.0,73.7592588888889,72.0,79.61728407407408,1.949586138823903,941.5709090909091,23.07095389055062,4916.231818181818,196.32560235332016,5087.649090909091,213.57824777571298,5001.9404545454545,204.93689849333916
2000-07,2000,7,0.15666666666666668,0.9400000000000001,6,84.04166666666667,88.0,72.64814833333334,69.5,77.65,0.948228838959508,936.6861904761905,13.62772522330509,5745.908571428571,189.23004830855302,5938.125238095238,184.78358262083415,5842.016904761905,186.85542680422796
2000-08,2000,8,0.080483,0.80483,10,82.1,85.0,72.47727272727273,70.5,76.9365080952381,1.2796222295139188,877.8769565217391,17.21956536110298,6187.55347826087,89.42407951129668,6397.461739130435,96.18387460069094,6292.5076086956515,92.61743109634017
2000-09,2000,9,0.07250000000000001,0.29000000000000004,4,85.65,87.2,73.375,71.25,78.33333333333333,1.578845661611169,883.1228571428572,8.658314583599536,6352.13380952381,53.555956295840346,6568.923333333334,47.482275991504,6460.528571428572,50.411434470337454
2000-10,2000,10,0.04,0.04,1,85.0,85.0,73.0,73.0,79.875,2.6575364531836607,878.1218181818182,22.51675072481516,6515.871818181818,43.41191910462256,6729.153636363637,40.26835736896653,6622.512727272727,41.69447633072666
2000-11,2000,11,0.21,0.63,3,89.78571428571429,91.5,73.89102538461539,69.0,81.74886619047619,1.3022520084932723,800.8704545454547,19.09238404063201,6664.926363636364,45.284496510863676,6878.962272727274,38.761805320851316,6771.944318181818,41.980825421666324
2000-12,2000,12,1.085,2.17,2,89.2777775,91.0,74.9750005,68.66667,81.77586206896552,1.515970236539669,803.591,17.4365782797332,6545.37394117647,911.5852930007749,6744.168805882353,936.2892681044092,6644.771376470589,923.9348123088606
2001-01,2001,1,0.0,0.0,0,89.68181909090909,94.0,75.13541625,69.33333,81.84821464285714,1.6216215069274016,966.5813636363637,101.08316883567456,6786.499090909091,7.087007501383871,7005.030909090909,6.686876207910193,6895.764999999999,6.73373065777266
2001-02,2001,2,0.06999999999999999,0.13999999999999999,2,93.05555533333333,97.66667,75.78627470588235,68.0,82.69565217391305,2.101227163038421,1156.9375,50.70485545887361,6840.236999999999,40.76068695511217,7059.489500000001,37.467409764669824,6949.86325,38.997707971616265
2001-03,2001,3,0.18,0.9,5,90.36111111111111,94.0,75.98076923076923,71.0,83.16935483870968,1.5348549019019584,1124.405909090909,44.4131024917617,6968.9685,29.905887164658072,7181.558,27.519637505263052,7075.263250000001,28.620389183926967
2001-04,2001,4,0.0,0.0,0,91.2,94.0,76.85,72.0,83.07471275862069,2.9511855426262867,1081.6155,20.47548944855518,7017.904736842105,10.724412114641366,7225.586842105263,9.78523550652325,7121.745789473684,10.102881500833229
2001-05,2001,5,0.61,1.22,2,89.6,91.0,78.0,77.0,82.61538461538461,2.5467928549754233,1079.6263636363635,36.14681643697186,7044.058181818182,1.9935721381807272,7251.720454545455,3.9056241221539585,7147.889318181818,2.808132872082835
2001-06,2001,6,0.0,0.0,0,88.0,88.0,75.0,74.0,79.5,1.8708286933869696,972.1533333333334,17.27388761493294,7050.936666666667,29.12495344774545,7264.871428571428,7.46854690399308,7157.904047619047,17.360055344025163
2001-07,2001,7,0.02,0.02,1,82.4,86.0,72.0,71.0,77.81481481481481,1.9222790367573315,967.1122727272727,18.524237130187334,7000.250476190477,17.52875736502473,7242.780000000001,13.065633547593453,7121.515238095239,15.024082540723425
2001-08,2001,8,0.0,0.0,0,81.0,81.0,72.0,72.0,76.80645161290323,1.2495160353435437,1034.1060869565217,29.956860155158584,6990.090869565217,3.0046447574675446,7222.8095652173915,3.68507984156806,7106.450217391303,2.089889339317472
2001-09,2001,9,0.0,0.0,0,82.6,82.6,73.2,73.2,76.77777777777777,1.7873008824606014,1019.7764999999999,45.680037707952984,6992.2095,5.158802875209167,7212.9655,7.919872722927173,7102.5875,5.218502381456286
2001-10,2001,10,0.0,0.0,0,84.2,84.2,74.4,74.4,79.38888888888889,2.001913489611599,1084.7782608695652,43.187247239326055,7005.154347826086,12.31434338340559,7214.292608695652,5.276117906008653,7109.72347826087,8.189855897664433
2001-11,2001,11,0.0,0.0,0,85.8,85.8,75.6,75.6,82.0,2.216526096762596,1240.8263636363636,115.90691752007018,7051.897727272727,27.23015624036073,7245.019545454546,18.41114995432654,7148.458636363636,19.118208422601292
2001-12,2001,12,0.0,0.0,0,87.4,87.4,76.8,76.8,82.0,2.4311387039135934,1336.789411764706,27.60266143657802,7126.1770588235295,22.60355441205665,7329.853529411765,24.64333021863553,7228.015294117647,23.42955328416677
2002-01,2002,1,0.0,0.0,0,89.0,89.0,78.0,78.0,82.0,2.6457513110645907,1384.2163636363637,30.901573630057353,6573.171249999999,2024.5572979732212,6754.346666666667,2080.34227002625,6663.758958333333,2052.4472926860517
2002-02,2002,2,0.06285714285714286,0.44,7,94.57051307692308,100.0,76.41960764705883,72.0,83.77186136363638,2.3313213761508833,1491.7755,37.78242691976483,7293.996499999999,102.16102456287729,7503.861999999999,98.4762674374954,7398.929249999999,99.98025987104435
2002-03,2002,3,0.1608325,0.64333,4,91.746666,96.0,75.5,72.33333,84.072222,1.7630207159799003,1592.0285,30.657347925776403,7458.403157894737,41.72658212866667,7660.406315789473,34.605717929993,7559.404736842105,37.9823611281788
2002-04,2002,4,1.1466666666666667,3.44,3,90.2083325,92.0,73.1666675,68.0,83.94642857142857,2.4654898316338905,1569.2877272727274,23.952610342252743,6496.714285714285,2718.053200337645,6657.060952380953,2785.0373690740753,6576.887619047619,2751.5415196320496
2002-05,2002,5,0.14500000000000002,1.0150000000000001,7,91.73148111111112,96.0,75.725,73.0,82.89,2.249344732169335,1605.2891304347827,48.31200734553403,7333.5885714285705,1680.5377704511307,7499.637142857143,1718.6270735972446,7416.612857142857,1699.5811298137342
2002-06,2002,6,0.12200000000000003,1.2200000000000002,10,86.0,87.0,74.16666666666667,72.0,79.54166666666667,2.3952700976256747,1658.655,57.12371693825699,7786.245,17.244609684127358,7983.914,32.36547468490134,7885.0795,24.5746426809165
2002-07,2002,7,0.0,0.0,0,88.0,88.0,72.95833333333334,71.0,79.4,1.6388149028228542,1868.5952173913045,42.1099849819241,6818.744090909091,2773.6280265602604,7003.430454545454,2848.7845833492493,6911.087272727274,2811.205348613502
2002-08,2002,8,0.0,0.0,0,82.5,84.0,71.75,70.0,77.66666666666667,1.6329931618554532,1960.4681818181818,89.68905871777032,7993.1618181818185,8.005654332951183,8216.821363636363,15.91604649864952,8104.991590909091,11.900864152934005
2002-09,2002,9,0.0,0.0,0,83.0,83.0,72.62105280701755,70.33333333333333,78.0,2.6602486870447053,2163.937142857143,64.56454136310867,8017.199523809524,11.544021602626783,8238.05619047619,4.560603552371493,8127.6278571428575,7.856401620880691
2002-10,2002,10,0.0,0.0,0,87.0,87.0,73.49210561403508,70.66666666666667,80.79166666666667,2.2837643727287027,2205.2621739130436,163.0014739463899,7735.475217391304,1686.4332351765088,7922.549565217392,1727.1470332642325,7829.012391304348,1706.7865415937672
2002-11,2002,11,0.10417846153846154,1.35432,13,90.53571428571429,94.0,74.36315842105263,71.0,81.677778,1.8743750481701245,1814.0652380952383,65.07177657164782,8154.981904761905,29.76993846467348,8096.87,981.1273166108465,8125.925952380952,492.8022732410512
2002-12,2002,12,0.0008888888888888889,0.008,9,90.31515181818182,91.66667,73.30175421052631,61.0,81.60913967741936,2.295663803054915,2022.7240000000002,91.29987913752296,8227.827894736844,23.613744956637582,8402.875263157895,38.140313808709934,8315.351578947368,30.843144207274698
2003-01,2003,1,0.019666666666666666,0.354,18,90.44444458333334,93.0,74.01314076923077,67.0,81.66006129032259,1.616679939414404,2184.728181818182,84.7944758216602,7934.817272727273,1772.4657200397467,8131.186363636364,1816.4719579960895,8033.001818181819,1794.4577024971352
2003-02,2003,2,0.0359375,0.2875,8,92.3916675,94.16667,76.37724888888889,72.5,83.42015866666667,1.271453535277451,2239.2650000000003,128.73182461388893,7992.192,1881.2969919337427,8166.844999999999,1922.3514699573975,8079.5185,1901.811557432669
2003-03,2003,3,0.03888866666666667,0.58333,15,94.0519611764706,98.0,75.73412666666667,71.0,84.35215032258064,2.130670084074466,1994.7190476190476,47.723910978121076,8463.249,15.336883269460056,8652.4315,13.272126024512254,8557.84025,13.931957817135737
2003-04,2003,4,0.14608300000000002,1.46083,10,90.11666687499999,94.0,75.51904714285715,71.5,82.67413827586206,2.3737634873777194,1927.6771428571428,39.59755524560289,8505.913,59.97552694751053,8712.9825,15.678463899986461,8609.44775,31.062170446203027
2003-05,2003,5,0.16251833333333332,2.9253299999999998,18,90.82807052631578,94.5,75.48039176470589,72.0,82.81720387096775,1.7252779115738142,1749.7247619047619,121.25932865635734,8548.7125,17.52249107350412,8737.8335,4.642763781016594,8643.273,9.679729144754162
2003-06,2003,6,0.3134126315789474,5.95484,19,85.994444,89.0,73.39682523809523,70.33333,79.05944433333335,1.3026034647335092,1579.1090476190477,44.33031309440087,8585.429047619047,7.614550482308699,8754.016666666666,3.3364971651918314,8669.722857142857,5.372199403278055
